Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
山月不系舟,,0,1,1,0,1,1,1,0,0,0.00002
Air酷_64154,,1,0,1,0,0,0,0,0,0.042528,0.00002
微瘦男孩,,1,0,1,0,0,0,0,0,0.011354,0.00002
今天的我还要上班吗,,1,0,1,0,0,0,0,0,0.011354,0.00002
请叫我审判长小人,,1,0,1,0,0,0,0,0,0.325764,0.00002
总会在月球相遇,,1,0,1,0,0,0,0,0,0.011354,0.00002
狼毛榴莲町,,1,0,1,0,0,0,0,0,0.011354,0.000026
甜筒巧克冰,,0,1,1,0,1,1,1,0,0,0.00002
橙粉爱晨_647,,2,0,2,0,0,0,0,0,0.022708,0.000054
被我骂那就是你的不对了,,0,1,1,0,1,1,1,0,0,0.00002
幻视趴趴小猫,,1,0,1,0,0,0,0,0,0.011354,0.00002
你打个战术啊,,1,0,1,0,0,0,0,0,0.042528,0.000026
你是不是有点二,,1,0,1,0,0,0,0,0,0.011354,0.00002
眠眠早日暴富,,0,4,4,0,1,1,1,0,0,0.00002
时差有一秒钟,,1,0,1,0,0,0,0,0,0.011354,0.000024
Fantasy丶天幻,,1,0,1,0,0,0,0,0,0.011354,0.00002
绫波丽我媳妇,,1,0,1,0,0,0,0,0,0.011354,0.00002
唐可可你带我走吧,,1,0,1,0,0,0,0,0,0.011354,0.00002
超防水干爽伞妖,,1,0,1,0,0,0,0,0,0.011354,0.00002
混沌与概率1997,,0,1,1,0,1,1,1,0,0,0.00002
翼下无风,,1,0,1,0,0,0,0,0,0.011354,0.000037
Roy0_,,1,0,1,0,0,0,0,0,0.011354,0.00002
胖哥李小鹿,,0,1,1,0,1,1,1,0,0,0.00002
喔喔喔喔喔喔哦哦啊啊,,1,0,1,0,0,0,0,0,0.011354,0.000037
谁动了我的地球绿卡,,0,1,1,0,1,1,1,0,0,0.00002
hoemuch,,1,0,1,0,0,0,0,0,0.011354,0.000037
乌合麒麟,,0,18,18,0,1,1,1,0,0,0.00002
阿淇超级饿,,1,0,1,0,0,0,0,0,0.011354,0.000021
茫星谧,,1,0,1,0,0,0,0,0,0.011354,0.000021
伊呀哈-7899,,1,0,1,0,0,0,0,0,0.042528,0.000026
无缘半句多,,1,0,1,0,0,0,0,0,0.011354,0.000021
7855333140_283,,1,0,1,0,0,0,0,0,0.042528,0.000037
史密斯大棒棒,,1,0,1,0,0,0,0,0,0.011354,0.000021
沈奕斐,,0,1,1,0,1,1,1,0,0,0.00002
还是要多想想,,1,0,1,0,0,0,0,0,0.011354,0.000037
哈哈哈哈哈哈695555,,1,0,1,0,0,0,0,0,0.011354,0.000021
gary-shell,,1,0,1,0,0,0,0,0,0.011354,0.000022
Fmaous,,2,0,2,0,0,0,0,0,0.085055,0.000021
丿天灬掣,,1,0,1,0,0,0,0,0,0.011354,0.000021
只跟修狗儿互动,,1,0,1,0,0,0,0,0,0.011354,0.000021
旧巷之风,,1,0,1,0,0,0,0,0,0.011354,0.000021
局长大人辛苦了,,0,1,1,0,1,1,1,0,0,0.00002
未名市小王,,1,0,1,0,0,0,0,0,0.011354,0.000037
芦苇亭先生,,1,0,1,0,0,0,0,0,0.011354,0.000021
小惠ha-,,1,0,1,0,0,0,0,0,0.011354,0.000021
深龚爆_Biu,,0,3,3,0,1,1,1,0,0,0.00002
用户7881604106,,1,0,1,0,0,0,0,0,0.011354,0.000026
相皎如星月,,1,0,1,0,0,0,0,0,0.011354,0.000024
搜狐新闻,,0,2,2,0,1,1,1,0,0,0.00002
咕的摸Ning,,2,0,2,0,0,0,0,0,0.022708,0.000028
流沙逝步,,1,0,1,0,0,0,0,0,0.011354,0.000028
鹧咕噜天,,0,2,2,0,1,1,1,0,0,0.00002
Nel_DD,,1,0,1,0,0,0,0,0,0.011354,0.000028
圣母玛丽东,,0,1,1,0,1,1,1,0,0,0.00002
MadGoose,,1,0,1,0,0,0,0,0,0.011354,0.000037
秦蒙君,,0,13,13,0,1,1,1,0,0,0.00002
Jojo_不留,,1,0,1,0,0,0,0,0,0.011354,0.000021
柑蕉吉大眼仔,,1,0,1,0,0,0,0,0,0.011354,0.000021
小嘛小二浪呦,,0,3,3,0,1,1,1,0,0,0.00002
天才魔法少女小汪,,1,0,1,0,0,0,0,0,0.011354,0.000026
士多啤椰梨,,0,8,8,0,1,1,1,0,0,0.00002
vunyjiklqgiqpuk,,1,0,1,0,0,0,0,0,0.011354,0.000022
Director-LAP,,1,0,1,0,0,0,0,0,0.011354,0.000021
StevenYY,,1,0,1,0,0,0,0,0,0.011354,0.000021
LBS48,,0,1,1,0,1,1,1,0,0,0.00002
Sertan31108,,1,0,1,0,0,0,0,0,0.011354,0.000037
吧唧鸭y,,1,0,1,0,0,0,0,0,0.011354,0.000021
高槻空,,1,0,1,0,0,0,0,0,0.29459,0.000022
反封英雄穆拉维约夫,,1,0,1,0,0,0,0,0,0.042528,0.00002
胡江的忧郁,,1,0,1,0,0,0,0,0,0.011354,0.000021
了不起的羽毛君,,0,13,13,0,1,1,1,0,0,0.00002
程无2023,,1,0,1,0,0,0,0,0,0.011354,0.000021
淸燚,,2,0,2,0,0,0,0,0,0.022708,0.000021
暮夜汐_陌寞,,1,0,1,0,0,0,0,0,0.011354,0.000021
里阿姨的粉,,1,0,1,0,0,0,0,0,0.011354,0.000021
是Alpha那个Al,,0,7,7,0,1,1,1,0,0,0.00002
永远爱迪迪88,,2,0,2,0,0,0,0,0,0.022708,0.000028
雪鸮鸮,,1,0,1,0,0,0,0,0,0.011354,0.000021
老爷们为依憔悴,,1,0,1,0,0,0,0,0,0.042528,0.000037
Kylin兔子-郭冠廷的手毛版,,1,0,1,0,0,0,0,0,0.011354,0.000021
黄昏下的乌鸦1,,1,0,1,0,0,0,0,0,0.042528,0.00002
慕容西仔--,,1,0,1,0,0,0,0,0,0.011354,0.000021
满脑子想什么呢,,1,0,1,0,0,0,0,0,0.011354,0.00002
越来越_好呀,,1,0,1,0,0,0,0,0,0.011354,0.000021
