name,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering
不尬吹的haige,,2,0,2,3,0,3,0,0,0,0,0,532,0,0
喂尾巴喇喇,,2,0,2,2,0,2,0,0,0,0,0,18123,1,0
桃子珞珞粉,,2,0,2,3,0,3,0,0,0,0,0,35454,1,0
deCarin,,2,0,2,3,0,3,0,0,0,0,0,655,0,0
我把闪现交了我投降,,2,0,2,3,0,3,0,0,0,0,0,1048,0,0
糜梅豆蔻,,2,0,2,2,0,2,0,0,0,0,0,34993,1,0
不可食用物质垫底17977,,2,0,2,3,0,3,0,0,0,0,0,654,0,0
云口也,,2,0,2,3,0,3,0,0,0,0,0,11464,1,0
今夜无人能从这里逃出生天,,2,0,2,2,0,2,0,0,0,0,0,11262,1,0
冰封的火炎,,2,0,2,2,0,2,0,0,0,0,0,650,0,0
小池想睡了,,2,0,2,2,0,2,0,0,0,0,0,34009,1,0
祝凝今天过得愉快,,2,0,2,2,0,2,0,0,0,0,0,33752,1,0
力所能及的月亮,,2,0,2,2,0,2,0,0,0,0,0,33747,1,0
lalalala411,,2,0,2,2,0,2,0,0,0,0,0,33643,1,0
一百万匹自毁力量,,2,0,2,2,0,2,0,0,0,0,0,1835,1,0
GeCollington,,2,0,2,2,0,2,0,0,0,0,0,33512,1,0
loveadventure朵拉,,2,0,2,2,0,2,0,0,0,0,0,33510,1,0
缎蓝亭鸟,,2,0,2,2,0,2,0,0,0,0,0,33371,1,0
AR05300208,,2,0,2,2,0,2,0,0,0,0,0,11400,1,0
三十九度午夜霓虹,,2,0,2,2,0,2,0,0,0,0,0,32820,1,0
Alpha五号机,,2,0,2,2,0,2,0,0,0,0,0,359,1,0
無敵好運的可愛蹄,,2,0,2,2,0,2,0,0,0,0,0,32553,1,0
vvbabeovo,,2,0,2,2,0,2,0,0,0,0,0,11408,1,0
NISHIHAIDI,,2,0,2,2,0,2,0,0,0,0,0,1972,0,0
闹不大了个住,,2,0,2,3,0,3,0,0,0,0,0,1022,0,0
__敲落灯花,,2,0,2,3,0,3,0,0,0,0,0,638,0,0
好烦我好帅,,2,0,2,2,0,2,0,0,0,0,0,11385,1,0
Confuse_MeMe,,2,0,2,2,0,2,0,0,0,0,0,634,0,0
嘻嘻嘻你别急,,2,0,2,2,0,2,0,0,0,0,0,432,0,0
泠风yy,,2,0,2,3,0,3,0,0,0,0,0,3137,1,0
阿比地狱接引人,,2,0,2,2,0,2,0,0,0,0,0,3987,1,0
轻壳,,2,0,2,2,0,2,0,0,0,0,0,31513,1,0
而今未綠_,,2,0,2,2,0,2,0,0,0,0,0,2349,1,0
